cate,CoVID-19 severity,CD200R1,PECAM1,SELPLG,PODXL,SELPLG,CD58,CD40,CD226,CD226,TIGIT,TIGIT,PVR,CD28,CD28,CTLA4,CTLA4,TNFRSF1B,ITGA2B,ITGA5,TNFRSF4,CD27,FAS,TNFRSF9,TNFRSF14,TNFRSF10A,TNFRSF10C,TNFRSF13C,TNFRSF17,TNFRSF13B,ITGA4,ITGA4,ITGAL,ITGAL,ITGAL,ITGAL,ITGAM,ITGAX,ITGAD,ITGAD,CD80,PDCD1,PDCD1,KLRK1,PLXND1,PLXNC1,LILRA4,PECAM1,JAM3,CD48,SLAMF1,KLRC1,KLRC2,KIR3DL2,KIR3DL1,ALCAM,ICOS,CRTAM,LILRB2,LILRB1,CSF1R,CEACAM8,CEACAM5,CEACAM6,CEACAM1,LILRB4,CD8A,CD1D,LILRB1,LILRB2,CD72,ALCAM,F11R,ITGAL,ITGAM,ITGAM,ITGAM,ITGAV,ITGAX,CR2,ITGAX,ITGAM,CD38,ICAM1,SIGLEC1,MRC1,TNFRSF14,CDH1,SIRPA,SIRPG,LILRB2,CD84,SLAMF7,SLAMF6,LY9,SLAMF8,TNFRSF8,JAM3,ITGA4,SELP,SELP,SELL,TNFRSF14,TNFRSF13B,TNFRSF17,CADM1,CD55,CD46,ITGA2,ICAM3,ICAM3,ITGAV,ITGA5,L1CAM,FGFR1,SIGLEC10,NCAM1,CD209,CEACAM8,CEACAM6,CD74,ITGA4,ITGAV,ITGAV,SEMA4D,CDH1,DSC1,DSC2,DSC3,DSC1,DSC2,DSC3,LRP10,ESAM,PLXNB2,FLT3,EPHB1,EPHB2,KLRB1,KLRF1,TNFRSF21,TNFRSF21,ITGB3,ITGB1,ITGB7,ITGB2,KLRD1
B_c01_TCL1A,control,2.8111372,398.55624,74.14514,4.004092,74.14514,44.67046,1476.0535,23.73555,23.73555,7.3055286,7.3055286,1.0805097,12.191306,12.191306,3.0863209,3.0863209,196.74469,9.129078,21.353092,3.1364703,95.44115,24.80443,11.656632,1297.1733,235.85338,0.8930593,1124.5876,82.17475,97.42435,1621.9307,1621.9307,143.42755,143.42755,143.42755,143.42755,32.75012,32.04632,1.3753637,1.3753637,6.1569247,0.5901335,0.5901335,10.737744,3.049199,53.2701,20.361727,398.55624,58.237366,2056.746,306.57623,6.3304725,1.1736748,4.829541,1.7336192,150.0535,3.5023992,2.3016489,58.9879,370.9666,8.600319,5.8726783,0.78547955,0.0,27.833023,19.657967,14.801288,97.808945,370.9666,58.9879,1314.1711,150.0535,30.859493,143.42755,32.75012,32.75012,32.75012,15.221357,32.04632,331.52344,32.04632,32.75012,291.37753,44.59065,0.8049756,0.0,1297.1733,35.17763,5.259672,4.5921907,58.9879,138.746,12.823376,411.7243,730.8346,0.0,0.0,58.237366,1621.9307,4.724932,4.724932,3234.8247,1297.1733,97.42435,82.17475,14.688336,2018.3252,399.39883,1.6831577,1419.9937,1419.9937,15.221357,21.353092,23.733177,5.5937505,246.32423,15.285083,3.7370796,5.8726783,0.0,14940.666,1621.9307,15.221357,15.221357,91.24045,35.17763,1.34055,2.294342,0.0,1.34055,2.294342,0.0,552.432,45.59766,7.197666,3.5415182,3.0924048,1.8781691,57.41059,16.012718,6.7004757,6.7004757,3.3121626,165.83615,322.7407,1154.8485,76.26494
B_c01_TCL1A,mild/moderate,268.79297,14844.599,2628.5745,284.4958,2628.5745,2550.9775,59866.47,662.6023,662.6023,242.29697,242.29697,2.3483315,194.79045,194.79045,8.121629,8.121629,8559.344,182.9256,537.58466,64.05788,4720.6924,906.889,1271.8005,42987.797,10778.509,11.350375,59033.04,4532.8228,3999.0571,69591.56,69591.56,5413.8545,5413.8545,5413.8545,5413.8545,1045.6049,2125.0696,54.020027,54.020027,344.45065,6.851546,6.851546,558.1545,55.04727,2787.01,713.05444,14844.599,1658.69,80277.55,11301.233,142.66928,7.2717533,8.085521,4.6643057,6116.964,13.848465,75.87184,3163.949,13759.304,143.95844,169.12933,67.04727,13.541829,1116.1124,677.97064,74.8603,3985.434,13759.304,3163.949,56060.88,6116.964,1494.6802,5413.8545,1045.6049,1045.6049,1045.6049,488.5699,2125.0696,12096.0625,2125.0696,1045.6049,12914.684,1537.2817,12.950886,0.0,42987.797,1151.1771,156.1019,19.067537,3163.949,6659.34,334.2939,20275.049,21342.83,0.79207706,4.2988462,1658.69,69591.56,127.69955,127.69955,128410.15,42987.797,3999.0571,4532.8228,770.192,66908.5,17762.023,236.62752,45216.332,45216.332,488.5699,537.58466,665.75226,275.0375,9429.27,789.3927,209.13654,169.12933,13.541829,604914.06,69591.56,488.5699,488.5699,5922.9634,1151.1771,4.273151,189.47803,70.90961,4.273151,189.47803,70.90961,21179.08,3245.0078,113.523415,114.537926,49.072292,90.043526,139.95946,142.20235,227.20718,227.20718,84.74858,7943.034,11165.562,37057.46,3617.0186
B_c01_TCL1A,severe/critical,147.4557,5507.765,1087.3752,86.26754,1087.3752,813.63025,26995.547,203.87901,203.87901,109.018906,109.018906,3.2842534,57.654625,57.654625,17.321898,17.321898,3770.9304,56.97089,120.23622,16.454012,2448.3127,391.17596,539.8021,19582.467,4004.057,1.6032608,19081.889,2434.434,1609.0759,27596.918,27596.918,1941.4077,1941.4077,1941.4077,1941.4077,351.22208,387.47568,12.165254,12.165254,155.05646,4.8232975,4.8232975,300.8206,9.808083,988.2365,440.46686,5507.765,695.42377,37265.63,5517.2915,54.610817,5.0850887,4.5689545,4.9804626,2309.873,6.9986124,30.870628,1187.0208,6723.251,56.725838,62.82427,22.67184,2.3298616,455.33322,262.67392,53.336056,1678.2963,6723.251,1187.0208,21630.203,2309.873,492.13998,1941.4077,351.22208,351.22208,351.22208,194.40062,387.47568,4598.9624,387.47568,351.22208,4929.448,467.23413,14.284182,0.0,19582.467,439.1455,66.03549,7.4369597,1187.0208,2348.1355,105.77156,8866.288,7136.541,0.0,3.9548914,695.42377,27596.918,69.37089,69.37089,52242.57,19582.467,1609.0759,2434.434,186.36626,25051.492,7500.6953,70.19117,20372.057,20372.057,194.40062,120.23622,264.89365,116.88605,3793.1738,103.839096,74.73712,62.82427,2.3298616,192959.03,27596.918,194.40062,194.40062,2011.7986,439.1455,0.5570756,64.847534,28.854801,0.5570756,64.847534,28.854801,8993.664,1314.5944,27.522575,42.511673,19.93116,60.06828,58.254906,74.97358,43.261032,43.261032,16.062017,3267.9897,5635.2275,15402.705,1269.3116
B_c02_CD27,control,46.56216,212.91328,35.306595,6.05642,35.306595,202.7821,1058.3601,30.575794,30.575794,22.928864,22.928864,0.35043213,9.154919,9.154919,1.4483204,1.4483204,507.4737,7.3665595,7.7475915,5.6549215,823.4154,155.40599,17.916965,1116.75,221.42343,1.3410873,1148.9562,61.34747,1087.3538,1264.672,1264.672,211.0494,211.0494,211.0494,211.0494,222.11871,158.45055,1.3906269,1.3906269,127.909935,5.8607364,5.8607364,5.3443813,11.735492,178.79103,106.183,212.91328,112.1119,2296.6619,153.03831,1.1167319,2.0468829,6.291437,1.5117049,164.46893,4.175711,1.1168234,112.34227,372.06146,8.839197,2.2609773,1.1686647,0.0,24.760881,17.243465,27.921003,147.35219,372.06146,112.34227,515.2588,164.46893,43.54641,211.0494,222.11871,222.11871,222.11871,21.130205,158.45055,172.55261,158.45055,222.11871,68.77639,112.779465,0.0,0.0,1116.75,34.100784,4.8612943,1.5199146,112.34227,167.41415,48.276672,282.59503,881.0804,0.0,4.501248,112.1119,1264.672,5.5281124,5.5281124,1839.4806,1116.75,1087.3538,61.34747,23.496319,1375.7026,385.85873,4.3963394,1442.3047,1442.3047,21.130205,7.7475915,36.781208,6.0008383,422.36853,6.8727765,6.589208,2.2609773,0.0,13063.861,1264.672,21.130205,21.130205,117.34632,34.100784,0.0,0.46870777,2.1378202,0.0,0.46870777,2.1378202,699.572,18.074478,8.655797,7.562502,1.8652651,0.7906865,40.131283,8.167323,6.190562,6.190562,5.491852,1041.7517,772.3218,993.8308,65.4449
B_c02_CD27,mild/moderate,1335.3411,3811.2866,745.06573,200.67885,745.06573,4406.703,22964.527,408.64175,408.64175,441.0201,441.0201,0.6774384,78.035805,78.035805,5.1845694,5.1845694,10090.079,111.0403,63.948044,46.00178,17872.436,3102.647,589.11957,18226.166,4706.008,7.850504,27535.9,1898.0007,22020.53,29896.693,29896.693,5006.86,5006.86,5006.86,5006.86,4310.0225,3711.9111,41.419434,41.419434,3333.7324,37.405594,37.405594,212.13884,54.32909,4404.5054,1522.1503,3811.2866,1777.6743,43320.777,3095.1953,97.45503,6.0454764,61.69016,1.6400061,3664.9465,15.449383,69.0863,2335.2683,7549.3276,73.37481,84.387344,32.624023,11.842292,759.32715,387.33392,42.99152,2544.4783,7549.3276,2335.2683,10515.93,3664.9465,780.61865,5006.86,4310.0225,4310.0225,4310.0225,510.48578,3711.9111,3322.9072,3711.9111,4310.0225,1515.188,1635.401,8.433763,0.0,18226.166,521.71027,104.76333,12.465214,2335.2683,3614.914,902.4804,7359.8496,11589.375,0.0,32.5398,1777.6743,29896.693,65.53031,65.53031,40770.89,18226.166,22020.53,1898.0007,528.015,23929.404,8907.225,91.48827,25145.502,25145.502,510.48578,63.948044,658.2853,138.31616,7934.675,389.90137,110.450455,84.387344,11.842292,265956.78,29896.693,510.48578,510.48578,3620.6514,521.71027,2.2922156,84.52652,40.471825,2.2922156,84.52652,40.471825,12442.466,404.42828,244.89915,110.13243,64.16857,46.16934,93.31967,90.69595,70.80901,70.80901,43.489986,27329.117,14102.009,17436.002,1668.5996
B_c02_CD27,severe/critical,850.3601,1693.199,350.54745,61.419945,350.54745,2465.028,13601.351,218.93843,218.93843,251.27357,251.27357,3.286816,53.978065,53.978065,18.511557,18.511557,6468.1914,57.12293,23.30165,21.777287,11992.665,2354.1155,352.53775,10398.885,2272.6384,0.0,10928.153,1065.8997,14080.941,14268.179,14268.179,2586.2922,2586.2922,2586.2922,2586.2922,3173.8115,1710.729,18.11802,18.11802,3184.939,27.217358,27.217358,141.64061,26.922472,2475.528,2973.9114,1693.199,941.9213,25194.865,1382.9784,41.537666,2.8261695,13.388284,2.9114532,1924.2632,13.905504,38.616,1085.8768,4413.4326,28.391861,37.707844,14.868767,2.1899517,368.3848,193.20097,35.245075,1285.826,4413.4326,1085.8768,4742.8975,1924.2632,365.6065,2586.2922,3173.8115,3173.8115,3173.8115,337.48334,1710.729,1428.9954,1710.729,3173.8115,466.00348,770.83234,8.067304,0.5048099,10398.885,229.17136,51.006126,4.0458326,1085.8768,1986.9608,441.20987,4103.628,5095.7085,0.0,58.743423,941.9213,14268.179,27.79818,27.79818,21135.133,10398.885,14080.941,1065.8997,179.52643,10819.33,4945.667,42.75136,14068.141,14068.141,337.48334,23.30165,349.79263,90.14044,4163.579,71.2817,50.014587,37.707844,2.1899517,113238.36,14268.179,337.48334,337.48334,1801.9294,229.17136,1.5998257,39.402214,15.880647,1.5998257,39.402214,15.880647,7097.992,185.69551,79.30664,87.97709,39.129513,28.614115,31.056665,46.417984,19.013063,19.013063,9.614214,19830.168,8257.26,9436.046,840.3826
B_c023_TNFRSF1B,control,5.2257166,108.18644,29.26374,10.23088,29.26374,700.37866,959.7667,23.575693,23.575693,17.379519,17.379519,0.6487912,9.383608,9.383608,3.1785986,3.1785986,607.16003,2.513245,25.63934,43.26673,219.75912,113.178795,17.39069,591.15564,160.98555,0.0,991.0161,17.711813,599.0108,410.3082,410.3082,106.64845,106.64845,106.64845,106.64845,73.14111,39.779587,1.1112084,1.1112084,94.114265,39.3358,39.3358,8.197608,4.025144,44.074776,86.53576,108.18644,59.175888,1233.1127,180.66339,4.567869,0.0,2.6250792,0.0,124.23383,11.875708,7.248101,31.815563,108.73058,3.3156781,1.9673982,0.0,0.0,14.776199,12.998309,33.89135,25.618895,108.73058,31.815563,265.27203,124.23383,23.537403,106.64845,73.14111,73.14111,73.14111,34.803337,39.779587,98.96551,39.779587,73.14111,73.73115,580.55444,0.0,0.6952755,591.15564,36.367916,43.56097,1.4485092,31.815563,77.27531,316.80273,71.20155,1479.2068,0.0,2.93542,59.175888,410.3082,0.94272405,0.94272405,635.1275,591.15564,599.0108,17.711813,20.335213,1235.1414,220.45868,4.121539,725.8873,725.8873,34.803337,25.63934,22.53255,13.36908,143.85812,9.073493,1.6567712,1.9673982,0.0,7930.8574,410.3082,34.803337,34.803337,132.94202,36.367916,0.93867147,3.6731582,1.2866231,0.93867147,3.6731582,1.2866231,394.79684,27.472912,7.9429445,9.953009,1.2349422,3.5972595,15.855952,0.97110593,4.8273034,4.8273034,1.3647286,457.9137,211.15602,381.6985,52.173004
B_c023_TNFRSF1B,mild/moderate,40.013206,388.10034,87.42082,47.126053,87.42082,1655.3315,2917.1443,96.24644,96.24644,65.75052,65.75052,4.2226343,54.67418,54.67418,1.7355213,1.7355213,2837.0137,14.792279,75.66996,55.09161,894.8807,417.3,106.3187,2362.9958,734.91974,0.7474164,3681.5176,56.321945,2617.5266,1258.3408,1258.3408,610.99585,610.99585,610.99585,610.99585,340.08124,141.29262,4.5386877,4.5386877,447.47372,166.29085,166.29085,49.182663,24.049908,260.13812,374.65997,388.10034,326.41718,4409.8755,511.4819,8.060079,0.0,14.22727,0.0,500.05212,54.564415,19.996395,100.28247,402.8257,29.46243,14.250936,3.7487104,0.31556985,56.071266,32.502846,88.823654,127.88251,402.8257,100.28247,748.908,500.05212,177.85068,610.99585,340.08124,340.08124,340.08124,93.65059,141.29262,220.13007,141.29262,340.08124,170.5659,2416.7498,0.6414451,0.0,2362.9958,181.90817,171.95584,3.5114245,100.28247,324.9164,1182.8333,223.29895,5539.7607,0.0,21.13961,326.41718,1258.3408,1.2660084,1.2660084,1504.369,2362.9958,2617.5266,56.321945,87.227394,3719.6482,799.7235,21.471325,2331.0845,2331.0845,93.65059,75.66996,61.52062,24.877403,555.5143,57.110195,26.533783,14.250936,0.31556985,26826.434,1258.3408,93.65059,93.65059,917.91595,181.90817,3.7350402,9.803601,2.861877,3.7350402,9.803601,2.861877,1658.289,107.084366,70.0617,41.641434,9.008667,14.911251,34.005436,5.220273,14.445091,14.445091,3.9628751,2094.806,844.76746,1056.506,261.99277
B_c023_TNFRSF1B,severe/critical,25.762867,206.05022,62.683483,30.430256,62.683483,1672.9545,2784.4355,76.5851,76.5851,47.988396,47.988396,3.4492416,36.043823,36.043823,6.214508,6.214508,2364.2864,10.033799,59.75059,88.8497,672.61145,874.8477,78.990425,1909.6029,599.3853,1.6217661,2643.1367,35.21524,1982.8248,819.9881,819.9881,449.3092,449.3092,449.3092,449.3092,332.07788,177.45683,3.0864575,3.0864575,640.8747,142.83247,142.83247,35.0572,25.992868,213.91228,161.31697,206.05022,172.34166,3336.2961,390.40942,6.144117,0.0,7.4856467,1.2316945,353.25848,44.113644,6.1830335,84.32314,259.62274,18.811348,10.985365,5.1968904,0.0,38.47323,22.571537,37.612804,67.81645,259.62274,84.32314,375.9034,353.25848,170.70233,449.3092,332.07788,332.07788,332.07788,87.67109,177.45683,116.00192,177.45683,332.07788,132.67453,3104.4292,0.0,0.0,1909.6029,125.98042,126.9338,1.3400738,84.32314,187.9395,818.8678,161.44508,4610.3413,0.0,25.159891,172.34166,819.9881,0.6752345,0.6752345,986.84503,1909.6029,1982.8248,35.21524,89.56827,2337.3176,620.7783,18.726765,1578.1837,1578.1837,87.67109,59.75059,95.90632,34.98985,481.32828,42.680897,18.496738,10.985365,0.0,19012.193,819.9881,87.67109,87.67109,660.6234,125.98042,5.0735564,10.625954,2.781993,5.0735564,10.625954,2.781993,1201.596,60.059345,48.033806,23.447258,9.146373,8.807901,21.58208,4.3916683,18.245836,18.245836,0.5853775,1906.3811,736.13586,624.2864,188.94142
